area_name,northeast_lat,northeast_lng,southwest_lat,southwest_lng
Mortdale - Penshurst,-33.9529867,151.0876824,-33.9776336,151.0715237
Narwee - Beverly Hills,-33.9358303,151.0920397,-33.9607833,151.0646056
Oatley - Hurstville Grove,-33.9701475,151.0897835,-33.9961177,151.0876476
Peakhurst - Lugarno,-33.9521704,151.0579192,-33.9929924,151.041299
Riverwood,-33.9372796,151.0655208,-33.9572243,151.0400539
South Hurstville - Blakehurst,-33.9715654,151.1143755,-34.0035891,151.0998407
Arncliffe - Bardwell Valley,-33.9303543,151.1383314,-33.9468887,151.1297021
Bexley,-33.9400729,151.1344136,-33.9646662,151.1020712
Kingsgrove (South) - Bardwell Park,-33.9303238,151.133605,-33.9411886,151.1169539
Kogarah,-33.9560129,151.144807,-33.980319,151.1258814
Kogarah Bay - Carlton - Allawah,-33.96848,144.9757156,-37.8079229,151.1180829
Monterey - Brighton-le-Sands - Kyeemagh,-33.9454395,151.1542957,-33.9792934,151.1527768
Rockdale - Banksia,-33.9425503,151.152951,-33.9653319,151.1333814
Sans Souci - Ramsgate,-33.978233,151.1441221,-33.98609,151.1351066
Concord - Mortlake - Cabarita,-33.8413383,142.949861,-38.15556,151.1112371
Concord West - North Strathfield,-33.8306972,151.0948753,-33.8668791,151.0826747
Drummoyne - Rodd Point,-33.8420617,151.1497627,-33.868873,151.1419021
Five Dock - Abbotsford,-33.8586055,145.0158347,-37.8121429,151.1116136
Balmain,-33.8524832,151.1927207,-33.8641718,151.1686666
Leichhardt - Annandale,-33.8710987,151.1676387,-33.8901007,151.1620995
Lilyfield - Rozelle,-33.85726530000001,151.1733277,-33.8799641,151.1610873
Ashfield,-33.8741901,151.1388149,-33.904777,151.1160728
Burwood - Croydon,-37.8359782,145.133485,-37.8610869,145.0937435
Canterbury (North) - Ashbury,-33.8955206,151.1255776,-33.90672199999999,151.1099652
Croydon Park - Enfield,-33.8913554,138.6105847,-34.8736567,151.0890101
Dulwich Hill - Lewisham,-33.8897378,151.1490353,-33.9140984,151.1423728
Haberfield - Summer Hill,-33.8696643,151.1449537,-33.9008876,151.1295328
Homebush,-33.84998770000001,151.0918539,-33.8711094,151.0696073
Strathfield,-33.8654641,151.1009936,-33.892795,151.0611775
Strathfield South,-33.885989,151.0915122,-33.9074628,151.0672035
Chatswood (East) - Artarmon,-33.7844928,151.2031813,-33.8070343,151.159097
Chatswood (West) - Lane Cove North,-33.7913068,151.167755,-33.8124654,151.1533985
Lane Cove - Greenwich,-33.8106691,151.180366,-33.8433377,151.1783738
St Leonards - Naremburn,-33.8123685,151.1990679,-33.8281328,151.1927214
Willoughby - Castle Cove - Northbridge,-31.9420998,115.8610714,-33.8134518,151.1965783
Asquith - Mount Colah,-33.6464237,151.1379728,-33.6974339,151.1022492
Berowra - Brooklyn - Cowan,-33.5199519,151.1991612,-33.6186705,151.1310381
Normanhurst - Thornleigh - Westleigh,-33.6937451,151.0819901,-33.739189,151.0872612
Hornsby - East,-33.6783008,151.1214951,-33.7163903,151.0796771
Hornsby - West,-33.6783008,151.1214951,-33.7163903,151.0796771
Waitara - Wahroonga (West),-33.7036561,151.1120359,-33.7154074,151.098801
Gordon - Killara,-33.742814,151.1711638,-33.7831165,151.1402445
Lindfield - Roseville,-33.7668305,151.1823254,-33.7944299,151.1615396
Pymble,-33.72923919999999,151.15941,-33.7610979,151.1199654
St Ives,-33.6978821,151.1920257,-33.7519442,151.1477353
Turramurra,-33.71584199999999,151.1496327,-33.7528844,151.1048578
